xi,yi
0.0,0.0
500.0,0.0
1000.0,0.0
1500.0,0.2
2000.0,1.4000000000000001
2500.0,1.6
3000.0,0.6
3500.0,0.0
4000.0,0.4
4500.0,0.0
5000.0,0.0
5500.0,0.0
6000.0,0.0
6500.0,0.0
7000.0,0.2
7500.0,0.2
8000.0,0.6
8500.0,0.6
9000.0,0.0
9500.0,0.2
10000.0,0.0
10500.0,0.0
11000.0,0.2
11500.0,0.0
12000.0,0.2
12500.0,0.2
13000.0,0.4
13500.0,0.6
14000.0,0.8
14500.0,0.4
15000.0,0.2
15500.0,0.8
16000.0,0.4
16500.0,0.4
17000.0,0.2
17500.0,0.4
18000.0,0.0
18500.0,0.4
19000.0,0.0
19500.0,0.2
20000.0,0.2
20500.0,0.0
21000.0,0.6
21500.0,0.2
22000.0,0.2
22500.0,0.2
23000.0,0.2
23500.0,0.0
24000.0,0.0
24500.0,0.0
25000.0,0.0
25500.0,0.0
26000.0,0.0
26500.0,0.4
27000.0,0.4
27500.0,0.6
28000.0,0.6
28500.0,0.8
29000.0,0.2
29500.0,0.2
30000.0,0.0
30500.0,0.4
31000.0,0.4
31500.0,0.2
32000.0,0.0
32500.0,0.2
33000.0,0.2
33500.0,0.2
34000.0,0.2
34500.0,0.0
35000.0,0.6
35500.0,0.4
36000.0,0.4
36500.0,0.2
37000.0,0.0
37500.0,0.2
38000.0,0.6
38500.0,0.0
39000.0,0.2
39500.0,0.0
40000.0,0.2
40500.0,0.0
41000.0,0.4
41500.0,0.0
42000.0,0.0
42500.0,0.2
43000.0,0.0
43500.0,0.0
44000.0,0.0
44500.0,0.0
45000.0,0.6
45500.0,0.2
46000.0,0.0
46500.0,0.2
47000.0,0.0
47500.0,0.4
48000.0,0.0
48500.0,0.6
49000.0,0.2
49500.0,1.4000000000000001
50000.0,1.2
50500.0,0.8
51000.0,1.6
51500.0,0.2
52000.0,0.2
52500.0,0.0
53000.0,0.2
53500.0,0.6
54000.0,0.2
54500.0,0.0
55000.0,0.4
55500.0,0.0
56000.0,0.2
56500.0,0.2
57000.0,0.2
57500.0,0.4
58000.0,0.4
58500.0,0.4
59000.0,0.0
59500.0,0.0
60000.0,0.0
60500.0,0.2
61000.0,0.2
61500.0,0.0
62000.0,0.4
62500.0,0.4
63000.0,0.2
63500.0,0.2
64000.0,0.2
64500.0,1.2
65000.0,0.0
65500.0,0.2
66000.0,0.0
66500.0,0.4
67000.0,0.2
67500.0,0.4
68000.0,0.6
68500.0,0.8
69000.0,0.0
69500.0,0.8
70000.0,0.4
70500.0,0.6
71000.0,1.2
71500.0,0.4
72000.0,0.2
72500.0,0.4
73000.0,0.4
73500.0,0.2
74000.0,0.4
74500.0,0.2
75000.0,0.8
75500.0,0.4
76000.0,1.0
76500.0,0.2
77000.0,0.4
77500.0,0.0
78000.0,0.6
78500.0,1.0
79000.0,0.6
79500.0,0.6
80000.0,0.0
80500.0,0.6
81000.0,0.4
81500.0,0.2
82000.0,1.7999999999999998
82500.0,0.4
83000.0,0.2
83500.0,0.6
84000.0,0.4
84500.0,1.0
85000.0,0.2
85500.0,0.2
86000.0,0.6
86500.0,0.6
87000.0,0.2
87500.0,0.2
88000.0,0.6
88500.0,0.8
89000.0,0.0
89500.0,0.2
90000.0,0.0
90500.0,0.0
91000.0,0.2
91500.0,0.2
92000.0,0.4
92500.0,1.0
93000.0,0.0
93500.0,0.2
94000.0,0.2
94500.0,0.2
95000.0,1.0
95500.0,0.6
