chrom,id,me,nm,featuretype,strand,start,end
2,id,,MSTRG.17650.3,unk_exA,+,479004073,479004434
2,id,,MSTRG.17650.3,unk_inA,+,479004435,479030343
2,id,,MSTRG.17650.3,unk_exA,+,479030344,479030405
2,id,,MSTRG.17650.3,unk_inA,+,479030406,479034403
2,id,,MSTRG.17650.3,unk_exA,+,479034404,479034532
2,id,,MSTRG.17650.3,unk_inA,+,479034533,479046535
2,id,,MSTRG.17650.3,unk_exA,+,479046536,479046634
2,id,,MSTRG.17650.3,unk_inA,+,479046635,479047662
2,id,,MSTRG.17650.3,unk_exA,+,479047663,479047745
2,id,,MSTRG.17650.3,unk_inA,+,479047746,479048410
2,id,,MSTRG.17650.3,unk_exA,+,479048411,479048537
2,id,,MSTRG.17650.3,unk_inA,+,479048538,479048657
2,id,,MSTRG.17650.3,unk_exA,+,479048658,479048753
2,id,,MSTRG.17650.3,unk_inA,+,479048754,479053876
2,id,,MSTRG.17650.3,unk_exA,+,479053877,479053999
2,id,,MSTRG.17650.3,unk_inA,+,479054000,479054395
2,id,,MSTRG.17650.3,unk_exA,+,479054396,479054560
2,id,,MSTRG.17650.3,unk_inA,+,479054561,479056325
2,id,,MSTRG.17650.3,unk_exA,+,479056326,479058883
