chrom,id,me,nm,featuretype,strand,start,end
2,id,,PRKACB,unk_exA,-,46870992,46875679
2,id,,PRKACB,unk_inA,-,46875680,46877096
2,id,,PRKACB,unk_exA,-,46877097,46877261
2,id,,PRKACB,unk_inA,-,46877262,46877675
2,id,,PRKACB,unk_exA,-,46877676,46877798
2,id,,PRKACB,unk_inA,-,46877799,46882757
2,id,,PRKACB,unk_exA,-,46882758,46882853
2,id,,PRKACB,unk_inA,-,46882854,46882977
2,id,,PRKACB,unk_exA,-,46882978,46883104
2,id,,PRKACB,unk_inA,-,46883105,46883687
2,id,,PRKACB,unk_exA,-,46883688,46883770
2,id,,PRKACB,unk_inA,-,46883771,46884783
2,id,,PRKACB,unk_exA,-,46884784,46884882
2,id,,PRKACB,unk_inA,-,46884883,46896797
2,id,,PRKACB,unk_exA,-,46896798,46896926
2,id,,PRKACB,unk_inA,-,46896927,46900153
2,id,,PRKACB,unk_exA,-,46900154,46900215
2,id,,PRKACB,unk_inA,-,46900216,46919286
2,id,,PRKACB,unk_exA,-,46919287,46919325
2,id,,PRKACB,unk_inA,-,46919326,46922135
2,id,,PRKACB,unk_exA,-,46922136,46922453
