xi,yi
0.0,0.8
500.0,0.6
1000.0,0.2
1500.0,0.4
2000.0,0.2
2500.0,0.2
3000.0,0.6
3500.0,0.2
4000.0,2.0
4500.0,0.6
5000.0,0.8
5500.0,1.4000000000000001
6000.0,0.8
6500.0,3.8
7000.0,0.6
7500.0,0.4
8000.0,0.6
8500.0,0.4
9000.0,0.4
9500.0,0.2
10000.0,0.0
10500.0,0.2
11000.0,0.2
11500.0,0.4
12000.0,0.2
12500.0,0.6
13000.0,0.6
13500.0,0.2
14000.0,0.2
14500.0,0.8
15000.0,0.0
15500.0,1.6
16000.0,0.2
16500.0,0.8
17000.0,0.2
17500.0,0.2
18000.0,0.8
18500.0,0.2
19000.0,0.0
19500.0,0.8
20000.0,0.2
20500.0,0.0
21000.0,0.0
21500.0,0.2
22000.0,0.4
22500.0,0.6
23000.0,0.2
23500.0,0.2
24000.0,0.6
24500.0,0.2
25000.0,1.7999999999999998
25500.0,0.0
26000.0,0.4
26500.0,0.8
27000.0,1.6
27500.0,0.8
28000.0,0.4
28500.0,0.0
29000.0,0.4
29500.0,0.8
30000.0,0.0
30500.0,0.6
31000.0,1.0
31500.0,0.6
32000.0,0.2
32500.0,0.4
33000.0,0.0
33500.0,0.2
34000.0,0.2
34500.0,1.2
35000.0,0.0
35500.0,0.6
36000.0,0.2
36500.0,0.8
37000.0,0.2
37500.0,0.6
38000.0,0.4
38500.0,0.4
39000.0,0.2
39500.0,0.0
40000.0,0.2
40500.0,0.4
41000.0,0.4
41500.0,0.2
42000.0,0.2
42500.0,1.0
43000.0,0.2
43500.0,0.0
44000.0,0.4
44500.0,0.2
45000.0,0.8
45500.0,1.0
46000.0,0.2
46500.0,0.4
47000.0,0.6
47500.0,0.0
48000.0,0.4
48500.0,0.2
49000.0,1.6
49500.0,0.8
50000.0,0.6
50500.0,0.0
51000.0,0.4
51500.0,0.6
52000.0,0.2
52500.0,0.2
53000.0,0.4
53500.0,0.0
54000.0,0.8
54500.0,0.8
55000.0,0.0
55500.0,0.4
56000.0,1.2
56500.0,0.4
57000.0,0.6
57500.0,0.0
58000.0,0.0
58500.0,0.4
59000.0,1.0
59500.0,0.0
60000.0,0.4
60500.0,1.6
61000.0,1.2
61500.0,0.0
62000.0,0.0
62500.0,0.2
63000.0,0.2
63500.0,0.0
64000.0,0.4
64500.0,0.2
65000.0,0.8
65500.0,0.2
66000.0,0.2
66500.0,0.2
67000.0,0.4
67500.0,1.4000000000000001
68000.0,0.4
68500.0,0.8
69000.0,0.2
69500.0,0.0
70000.0,0.6
70500.0,0.6
71000.0,0.6
71500.0,0.0
72000.0,1.7999999999999998
72500.0,1.0
73000.0,0.8
73500.0,0.6
74000.0,0.4
74500.0,0.8
75000.0,0.4
75500.0,0.0
76000.0,0.0
76500.0,0.2
77000.0,0.2
77500.0,0.8
78000.0,0.6
78500.0,0.6
79000.0,0.4
79500.0,1.2
80000.0,0.2
80500.0,0.2
81000.0,2.6
81500.0,0.2
82000.0,0.8
82500.0,0.2
83000.0,0.0
83500.0,0.4
84000.0,0.6
84500.0,0.8
85000.0,1.0
85500.0,0.4
86000.0,3.5999999999999996
86500.0,0.2
87000.0,0.2
87500.0,0.4
88000.0,0.4
88500.0,0.4
89000.0,0.4
89500.0,0.6
90000.0,0.2
90500.0,1.0
91000.0,1.0
91500.0,1.7999999999999998
92000.0,0.0
92500.0,0.6
93000.0,0.4
93500.0,0.0
94000.0,0.0
94500.0,0.2
95000.0,0.2
95500.0,0.0
96000.0,0.2
96500.0,0.6
97000.0,0.2
97500.0,0.6
98000.0,0.2
98500.0,0.2
99000.0,0.2
99500.0,0.2
100000.0,1.0
100500.0,0.4
101000.0,0.6
101500.0,0.2
102000.0,0.0
102500.0,1.0
103000.0,0.0
103500.0,0.2
104000.0,0.0
104500.0,0.0
105000.0,0.0
105500.0,0.2
106000.0,0.2
106500.0,0.4
107000.0,0.4
107500.0,0.8
108000.0,0.0
108500.0,0.6
109000.0,0.8
109500.0,0.4
110000.0,0.2
110500.0,0.6
111000.0,0.2
111500.0,0.2
112000.0,0.6
112500.0,0.4
113000.0,0.2
113500.0,0.2
114000.0,1.6
114500.0,0.8
115000.0,0.4
115500.0,0.2
116000.0,0.0
116500.0,3.2
117000.0,0.0
117500.0,0.8
118000.0,1.7999999999999998
118500.0,0.6
119000.0,0.2
119500.0,0.2
120000.0,0.6
120500.0,0.6
121000.0,0.2
121500.0,1.2
122000.0,0.4
122500.0,0.2
123000.0,1.4000000000000001
123500.0,2.8000000000000003
124000.0,0.4
124500.0,0.2
125000.0,4.2
125500.0,0.2
126000.0,0.8
126500.0,0.2
127000.0,0.0
127500.0,0.2
128000.0,0.4
128500.0,0.0
129000.0,0.2
129500.0,0.0
130000.0,0.6
130500.0,0.4
131000.0,0.6
131500.0,0.4
132000.0,1.0
132500.0,0.6
133000.0,1.4000000000000001
133500.0,7.6
134000.0,10.2
134500.0,2.4
135000.0,1.0
135500.0,0.8
136000.0,0.8
136500.0,0.6
137000.0,0.4
137500.0,0.0
138000.0,0.6
138500.0,1.0
139000.0,0.4
139500.0,0.0
140000.0,0.8
140500.0,0.2
141000.0,0.2
141500.0,1.2
142000.0,0.0
142500.0,0.4
143000.0,0.6
143500.0,1.0
144000.0,0.8
144500.0,0.4
145000.0,0.4
145500.0,0.4
146000.0,0.6
146500.0,0.8
147000.0,0.6
147500.0,0.2
148000.0,0.2
148500.0,0.4
149000.0,0.4
149500.0,0.0
150000.0,0.2
150500.0,0.4
151000.0,1.6
151500.0,2.0
152000.0,0.2
152500.0,0.6
153000.0,0.2
153500.0,0.4
154000.0,0.2
154500.0,0.2
155000.0,0.6
155500.0,0.4
156000.0,0.4
156500.0,0.6
157000.0,0.6
157500.0,0.2
158000.0,0.2
158500.0,0.2
159000.0,0.4
159500.0,1.4000000000000001
160000.0,1.0
160500.0,0.4
161000.0,0.8
161500.0,0.2
162000.0,0.6
162500.0,0.6
163000.0,1.2
163500.0,0.2
164000.0,0.6
164500.0,0.2
165000.0,0.4
165500.0,1.4000000000000001
166000.0,0.4
166500.0,0.4
167000.0,0.0
167500.0,0.4
168000.0,0.6
168500.0,0.0
169000.0,0.0
169500.0,0.2
170000.0,0.4
170500.0,0.2
171000.0,0.4
171500.0,0.0
172000.0,0.6
172500.0,0.8
173000.0,1.0
173500.0,1.0
174000.0,0.2
174500.0,0.0
175000.0,0.4
175500.0,0.0
176000.0,0.4
176500.0,0.2
177000.0,0.4
177500.0,0.0
178000.0,0.0
178500.0,1.2
179000.0,0.8
179500.0,0.4
180000.0,1.4000000000000001
180500.0,0.2
181000.0,0.8
181500.0,0.2
