xi,yi
0.0,0.4
500.0,0.4
1000.0,0.2
1500.0,0.4
2000.0,1.0
2500.0,0.2
3000.0,0.4
3500.0,0.0
4000.0,0.0
4500.0,0.4
5000.0,0.4
5500.0,0.6
6000.0,0.4
6500.0,0.2
7000.0,1.7999999999999998
7500.0,0.8
8000.0,0.2
8500.0,0.4
9000.0,0.6
9500.0,0.6
10000.0,0.2
10500.0,0.4
11000.0,0.2
11500.0,0.2
12000.0,1.0
12500.0,0.4
13000.0,0.2
13500.0,0.4
14000.0,0.8
14500.0,0.0
15000.0,0.0
15500.0,0.0
16000.0,0.0
16500.0,0.2
17000.0,0.0
17500.0,0.2
18000.0,0.0
18500.0,0.0
19000.0,0.2
19500.0,0.2
20000.0,0.2
20500.0,0.6
21000.0,0.4
21500.0,1.0
22000.0,0.2
22500.0,0.2
23000.0,1.0
23500.0,0.6
24000.0,0.8
24500.0,0.8
25000.0,0.4
25500.0,1.6
26000.0,0.0
26500.0,0.2
27000.0,0.6
27500.0,0.8
28000.0,0.2
28500.0,0.2
29000.0,0.6
29500.0,1.0
30000.0,0.8
30500.0,0.2
31000.0,0.8
31500.0,0.8
32000.0,0.8
32500.0,0.4
33000.0,0.2
33500.0,0.4
34000.0,0.0
34500.0,0.4
35000.0,0.2
35500.0,0.2
36000.0,0.4
36500.0,0.8
37000.0,0.2
37500.0,0.2
38000.0,0.0
38500.0,1.4000000000000001
39000.0,0.2
39500.0,0.6
40000.0,0.2
40500.0,0.6
41000.0,1.2
41500.0,0.6
42000.0,1.0
42500.0,1.4000000000000001
43000.0,0.6
43500.0,0.4
44000.0,0.0
44500.0,0.0
45000.0,0.0
45500.0,0.0
46000.0,0.0
46500.0,0.0
47000.0,0.8
47500.0,0.8
48000.0,1.4000000000000001
48500.0,1.0
49000.0,0.6
49500.0,0.6
50000.0,1.0
50500.0,1.2
51000.0,0.4
51500.0,0.4
52000.0,0.2
52500.0,0.4
53000.0,0.2
53500.0,0.4
54000.0,0.6
54500.0,0.0
55000.0,0.4
55500.0,0.4
56000.0,0.4
56500.0,0.2
57000.0,0.0
57500.0,0.0
58000.0,0.0
58500.0,0.2
59000.0,0.2
59500.0,1.0
60000.0,0.4
60500.0,0.0
61000.0,0.2
61500.0,0.6
62000.0,0.2
62500.0,1.4000000000000001
63000.0,0.2
63500.0,0.6
64000.0,0.4
64500.0,1.0
65000.0,1.0
65500.0,0.8
66000.0,0.6
66500.0,1.2
67000.0,0.2
67500.0,0.0
68000.0,0.2
68500.0,0.8
69000.0,0.8
69500.0,0.4
70000.0,0.8
70500.0,0.6
71000.0,0.6
71500.0,0.2
