xi,yi
0.0,0.6
500.0,0.8
1000.0,0.8
1500.0,0.4
2000.0,0.6
2500.0,0.6
3000.0,1.0
3500.0,1.0
4000.0,1.4000000000000001
4500.0,1.7999999999999998
5000.0,0.4
5500.0,0.4
6000.0,0.6
6500.0,0.4
7000.0,1.2
7500.0,0.4
8000.0,1.2
8500.0,2.1999999999999997
9000.0,1.0
9500.0,0.8
10000.0,1.0
10500.0,1.2
11000.0,0.4
11500.0,0.4
12000.0,1.2
12500.0,0.6
13000.0,1.4000000000000001
13500.0,1.0
14000.0,1.2
14500.0,2.0
15000.0,1.4000000000000001
15500.0,0.4
16000.0,1.0
16500.0,0.8
17000.0,0.6
17500.0,0.6
18000.0,0.2
18500.0,1.0
19000.0,0.8
19500.0,0.4
20000.0,1.2
20500.0,0.6
21000.0,1.0
21500.0,0.4
22000.0,1.0
22500.0,0.6
23000.0,1.0
23500.0,0.2
24000.0,1.2
24500.0,0.6
25000.0,0.2
25500.0,1.6
26000.0,1.4000000000000001
26500.0,2.8000000000000003
27000.0,1.2
27500.0,0.8
28000.0,1.2
28500.0,0.4
29000.0,1.2
29500.0,2.6
30000.0,0.8
30500.0,0.6
31000.0,0.4
31500.0,1.0
32000.0,1.4000000000000001
32500.0,0.8
33000.0,0.0
33500.0,1.7999999999999998
34000.0,1.7999999999999998
34500.0,0.4
35000.0,1.2
35500.0,0.6
36000.0,0.8
36500.0,0.4
37000.0,2.0
37500.0,2.0
38000.0,1.4000000000000001
38500.0,1.7999999999999998
39000.0,1.4000000000000001
39500.0,3.8
40000.0,2.0
40500.0,0.4
41000.0,0.4
41500.0,0.2
42000.0,0.6
42500.0,0.8
43000.0,0.4
43500.0,1.7999999999999998
44000.0,2.8000000000000003
44500.0,1.4000000000000001
45000.0,1.0
45500.0,1.2
46000.0,0.0
46500.0,1.0
47000.0,0.6
47500.0,1.0
48000.0,1.2
48500.0,2.6
49000.0,2.6
49500.0,1.2
50000.0,1.2
50500.0,1.2
51000.0,1.2
51500.0,1.0
52000.0,1.7999999999999998
52500.0,1.4000000000000001
53000.0,1.7999999999999998
53500.0,2.8000000000000003
54000.0,0.8
54500.0,1.0
55000.0,1.2
55500.0,1.7999999999999998
56000.0,1.0
56500.0,0.8
57000.0,1.4000000000000001
57500.0,0.0
58000.0,0.8
58500.0,0.8
59000.0,5.0
59500.0,1.4000000000000001
60000.0,0.4
60500.0,1.6
61000.0,0.6
61500.0,0.8
62000.0,1.0
62500.0,0.4
63000.0,0.6
63500.0,1.2
64000.0,0.6
64500.0,0.6
65000.0,2.1999999999999997
65500.0,2.4
66000.0,1.6
66500.0,3.0
67000.0,2.6
67500.0,1.2
68000.0,2.0
68500.0,1.4000000000000001
69000.0,2.0
69500.0,0.6
70000.0,1.2
70500.0,2.4
71000.0,0.0
71500.0,0.8
72000.0,1.0
72500.0,0.0
73000.0,0.4
73500.0,0.6
74000.0,1.0
74500.0,1.0
75000.0,0.4
75500.0,0.2
76000.0,0.4
76500.0,0.2
77000.0,1.6
77500.0,1.4000000000000001
78000.0,0.8
78500.0,0.8
79000.0,1.2
79500.0,3.4000000000000004
80000.0,0.8
80500.0,0.2
81000.0,0.6
81500.0,1.4000000000000001
82000.0,1.2
82500.0,1.6
83000.0,0.8
83500.0,0.8
84000.0,0.4
84500.0,0.6
85000.0,1.2
85500.0,0.6
86000.0,0.2
86500.0,0.2
87000.0,1.7999999999999998
87500.0,0.4
88000.0,0.6
88500.0,0.6
89000.0,0.4
89500.0,2.6
90000.0,0.4
90500.0,0.8
91000.0,1.4000000000000001
91500.0,0.8
92000.0,0.6
92500.0,1.2
93000.0,1.0
93500.0,1.7999999999999998
94000.0,2.8000000000000003
94500.0,0.6
95000.0,1.0
95500.0,0.8
96000.0,0.2
96500.0,1.0
97000.0,0.6
97500.0,0.6
98000.0,0.6
98500.0,0.4
99000.0,1.2
99500.0,1.6
100000.0,0.8
100500.0,0.2
101000.0,1.2
101500.0,1.4000000000000001
102000.0,1.4000000000000001
102500.0,0.2
103000.0,2.0
103500.0,1.6
104000.0,2.4
104500.0,1.0
105000.0,2.4
105500.0,1.6
106000.0,0.8
106500.0,0.6
107000.0,0.2
107500.0,0.4
108000.0,0.6
108500.0,0.8
109000.0,1.0
109500.0,0.6
110000.0,0.8
110500.0,0.8
111000.0,1.4000000000000001
111500.0,0.8
112000.0,0.4
112500.0,0.4
113000.0,0.8
113500.0,1.7999999999999998
114000.0,1.2
114500.0,1.0
115000.0,1.0
115500.0,0.2
116000.0,0.8
116500.0,0.8
117000.0,0.8
117500.0,0.4
118000.0,0.6
118500.0,1.7999999999999998
119000.0,1.4000000000000001
119500.0,1.4000000000000001
120000.0,0.8
120500.0,1.2
121000.0,0.2
121500.0,0.8
122000.0,0.0
122500.0,0.2
123000.0,1.2
123500.0,0.8
124000.0,0.4
124500.0,1.2
125000.0,0.8
125500.0,1.6
126000.0,2.4
126500.0,0.8
127000.0,0.6
127500.0,1.0
128000.0,1.0
128500.0,0.2
129000.0,1.2
129500.0,1.0
130000.0,1.2
130500.0,1.2
131000.0,2.6
131500.0,4.6
132000.0,2.0
132500.0,0.6
133000.0,1.6
133500.0,1.2
134000.0,2.0
134500.0,1.6
135000.0,1.2
135500.0,1.6
136000.0,0.6
136500.0,1.0
137000.0,0.2
137500.0,1.4000000000000001
138000.0,0.4
138500.0,1.6
139000.0,2.6
139500.0,0.4
140000.0,1.6
140500.0,0.4
141000.0,0.8
141500.0,0.4
142000.0,0.0
142500.0,1.0
143000.0,0.4
143500.0,0.4
144000.0,1.6
144500.0,3.2
145000.0,1.4000000000000001
145500.0,0.8
146000.0,2.0
146500.0,0.8
147000.0,1.2
147500.0,0.8
148000.0,0.6
148500.0,0.8
149000.0,1.4000000000000001
149500.0,1.2
150000.0,1.4000000000000001
150500.0,1.6
151000.0,0.4
151500.0,1.0
152000.0,0.6
152500.0,1.6
153000.0,1.2
153500.0,1.2
154000.0,1.6
154500.0,1.0
155000.0,1.4000000000000001
155500.0,1.2
156000.0,1.0
156500.0,0.6
157000.0,1.0
157500.0,0.2
158000.0,0.6
158500.0,0.8
159000.0,0.4
159500.0,1.0
160000.0,0.6
160500.0,0.2
161000.0,0.4
161500.0,1.7999999999999998
162000.0,0.0
162500.0,0.6
163000.0,1.4000000000000001
163500.0,0.8
164000.0,1.0
164500.0,0.8
165000.0,1.0
165500.0,1.0
166000.0,0.4
166500.0,1.7999999999999998
167000.0,1.2
167500.0,1.4000000000000001
168000.0,1.0
168500.0,0.4
169000.0,0.8
169500.0,0.8
170000.0,1.7999999999999998
170500.0,8.200000000000001
171000.0,13.4
171500.0,3.5999999999999996
172000.0,1.7999999999999998
172500.0,1.0
173000.0,0.8
173500.0,0.4
174000.0,0.2
174500.0,0.8
175000.0,1.4000000000000001
175500.0,0.6
176000.0,1.2
176500.0,0.8
177000.0,0.6
177500.0,1.7999999999999998
178000.0,1.4000000000000001
178500.0,0.8
179000.0,1.6
179500.0,0.6
180000.0,1.4000000000000001
180500.0,1.2
181000.0,0.8
181500.0,2.0
182000.0,0.6
182500.0,0.4
183000.0,1.0
183500.0,0.2
184000.0,0.8
184500.0,0.6
185000.0,0.2
185500.0,0.8
186000.0,0.8
186500.0,0.6
187000.0,1.4000000000000001
187500.0,0.2
188000.0,1.2
188500.0,0.8
189000.0,0.8
189500.0,1.0
190000.0,1.7999999999999998
190500.0,1.0
191000.0,0.6
191500.0,0.2
192000.0,0.0
192500.0,0.0
193000.0,0.8
193500.0,1.0
194000.0,0.6
194500.0,0.2
195000.0,0.0
195500.0,0.2
196000.0,0.2
196500.0,0.2
197000.0,0.8
197500.0,0.4
198000.0,0.0
198500.0,0.0
199000.0,0.6
199500.0,0.8
200000.0,1.0
200500.0,0.8
201000.0,1.2
201500.0,0.6
202000.0,0.2
202500.0,2.1999999999999997
203000.0,0.2
203500.0,0.6
204000.0,0.6
204500.0,1.4000000000000001
205000.0,0.8
205500.0,0.8
206000.0,1.4000000000000001
206500.0,0.8
207000.0,1.0
207500.0,0.4
208000.0,0.8
208500.0,1.2
209000.0,0.8
209500.0,0.4
210000.0,2.0
210500.0,1.0
211000.0,1.0
211500.0,0.4
212000.0,0.4
212500.0,0.4
213000.0,2.0
213500.0,2.0
214000.0,0.6
214500.0,0.6
215000.0,1.6
215500.0,1.4000000000000001
216000.0,0.6
216500.0,1.7999999999999998
217000.0,2.6
217500.0,0.4
218000.0,0.6
218500.0,0.4
219000.0,1.0
219500.0,0.4
220000.0,0.4
220500.0,0.4
221000.0,0.4
221500.0,0.6
222000.0,1.2
222500.0,1.4000000000000001
223000.0,1.2
223500.0,1.2
224000.0,1.0
224500.0,2.0
225000.0,1.0
225500.0,0.6
226000.0,1.2
226500.0,1.0
227000.0,0.8
227500.0,1.6
228000.0,1.0
228500.0,2.1999999999999997
229000.0,0.2
229500.0,0.6
230000.0,0.8
230500.0,1.2
231000.0,2.0
231500.0,0.6
232000.0,0.8
232500.0,2.6
233000.0,1.4000000000000001
233500.0,1.6
234000.0,1.2
234500.0,0.6
235000.0,0.6
235500.0,1.6
236000.0,1.6
236500.0,1.2
237000.0,1.4000000000000001
237500.0,1.4000000000000001
238000.0,1.0
238500.0,2.1999999999999997
239000.0,0.4
239500.0,1.2
240000.0,1.4000000000000001
240500.0,1.4000000000000001
241000.0,0.8
241500.0,0.8
242000.0,0.6
242500.0,1.7999999999999998
243000.0,1.0
243500.0,0.8
244000.0,2.0
244500.0,2.1999999999999997
245000.0,0.8
245500.0,2.4
246000.0,0.8
246500.0,1.2
247000.0,0.6
247500.0,1.2
248000.0,1.2
248500.0,1.2
249000.0,0.2
249500.0,1.4000000000000001
250000.0,1.0
250500.0,0.2
251000.0,2.0
251500.0,2.1999999999999997
252000.0,3.2
252500.0,0.6
253000.0,0.4
253500.0,1.4000000000000001
254000.0,1.4000000000000001
254500.0,0.6
255000.0,1.0
255500.0,0.4
256000.0,1.6
256500.0,1.4000000000000001
257000.0,0.6
257500.0,0.6
258000.0,0.4
258500.0,1.6
259000.0,0.8
259500.0,1.0
260000.0,0.8
260500.0,0.8
261000.0,1.0
261500.0,1.6
262000.0,1.0
262500.0,1.0
263000.0,1.0
263500.0,0.8
264000.0,0.6
264500.0,0.6
265000.0,0.8
265500.0,1.4000000000000001
266000.0,1.7999999999999998
266500.0,1.2
267000.0,1.2
267500.0,1.2
268000.0,1.6
268500.0,0.8
269000.0,1.0
269500.0,1.6
270000.0,0.8
270500.0,0.4
271000.0,1.7999999999999998
271500.0,0.8
272000.0,1.2
272500.0,1.6
273000.0,2.8000000000000003
273500.0,1.0
274000.0,2.1999999999999997
274500.0,0.2
275000.0,0.8
275500.0,1.0
276000.0,0.8
276500.0,0.6
277000.0,0.6
277500.0,1.4000000000000001
278000.0,0.2
278500.0,0.4
279000.0,1.7999999999999998
279500.0,1.4000000000000001
280000.0,0.6
280500.0,0.2
281000.0,2.0
281500.0,0.6
282000.0,0.6
282500.0,1.0
283000.0,1.6
283500.0,2.6
284000.0,0.6
284500.0,2.1999999999999997
285000.0,1.0
285500.0,1.4000000000000001
286000.0,1.6
286500.0,0.6
287000.0,0.8
287500.0,2.1999999999999997
288000.0,1.0
288500.0,1.2
289000.0,1.0
289500.0,0.6
290000.0,1.6
290500.0,2.1999999999999997
291000.0,1.2
291500.0,1.2
292000.0,1.2
292500.0,2.0
293000.0,0.8
293500.0,1.2
294000.0,0.8
294500.0,1.2
295000.0,1.6
295500.0,3.2
296000.0,0.0
296500.0,1.2
297000.0,1.2
297500.0,1.6
298000.0,2.8000000000000003
298500.0,7.3999999999999995
299000.0,2.6
299500.0,0.8
300000.0,0.2
300500.0,0.6
301000.0,1.6
301500.0,1.7999999999999998
302000.0,1.7999999999999998
302500.0,1.0
303000.0,3.0
303500.0,1.7999999999999998
304000.0,3.0
304500.0,0.4
305000.0,0.6
305500.0,1.6
306000.0,0.6
306500.0,0.8
307000.0,0.6
307500.0,0.8
308000.0,1.6
308500.0,0.2
309000.0,0.8
309500.0,0.2
310000.0,1.0
310500.0,2.0
311000.0,0.2
311500.0,0.0
312000.0,0.2
312500.0,0.6
313000.0,1.4000000000000001
313500.0,0.6
314000.0,1.6
314500.0,0.6
315000.0,1.0
315500.0,0.2
316000.0,0.8
316500.0,0.6
317000.0,0.6
317500.0,0.2
318000.0,1.0
318500.0,0.6
319000.0,0.8
319500.0,1.4000000000000001
320000.0,0.8
320500.0,1.2
321000.0,2.1999999999999997
321500.0,1.2
322000.0,0.8
322500.0,1.2
323000.0,0.8
323500.0,0.4
324000.0,0.6
324500.0,1.7999999999999998
325000.0,1.0
325500.0,0.0
326000.0,1.2
326500.0,1.4000000000000001
327000.0,0.2
327500.0,1.0
328000.0,0.4
328500.0,0.4
329000.0,0.8
329500.0,0.8
330000.0,1.2
330500.0,0.8
331000.0,1.7999999999999998
331500.0,1.2
332000.0,1.0
332500.0,1.2
333000.0,2.0
333500.0,1.6
334000.0,1.4000000000000001
334500.0,1.7999999999999998
335000.0,2.8000000000000003
335500.0,2.8000000000000003
336000.0,1.7999999999999998
336500.0,2.1999999999999997
337000.0,1.6
337500.0,1.4000000000000001
338000.0,1.6
