xi,yi
0.0,1.0
500.0,0.0
1000.0,0.6
1500.0,0.2
2000.0,0.8
2500.0,0.6
3000.0,0.0
3500.0,0.0
4000.0,0.2
4500.0,0.8
5000.0,0.6
5500.0,0.8
6000.0,0.6
6500.0,1.0
7000.0,0.4
7500.0,0.0
8000.0,0.2
8500.0,0.0
9000.0,0.4
9500.0,0.0
10000.0,0.2
10500.0,0.2
11000.0,0.0
11500.0,0.8
12000.0,0.0
12500.0,0.2
13000.0,0.4
13500.0,0.0
14000.0,0.2
14500.0,0.4
15000.0,0.0
15500.0,0.2
16000.0,0.4
16500.0,0.6
17000.0,0.0
17500.0,0.6
18000.0,0.0
18500.0,0.2
19000.0,1.6
19500.0,0.4
20000.0,0.0
20500.0,0.6
21000.0,1.6
21500.0,0.0
22000.0,0.6
22500.0,0.4
23000.0,0.4
23500.0,0.6
24000.0,0.4
24500.0,0.2
25000.0,1.0
25500.0,0.4
26000.0,1.0
26500.0,0.6
27000.0,0.6
27500.0,0.2
28000.0,1.0
28500.0,0.4
29000.0,1.0
29500.0,0.6
30000.0,0.6
30500.0,0.0
31000.0,0.0
31500.0,0.0
32000.0,0.2
32500.0,0.0
33000.0,0.2
33500.0,0.8
34000.0,0.2
34500.0,0.6
35000.0,0.2
35500.0,1.0
36000.0,0.4
36500.0,0.2
37000.0,0.4
37500.0,0.8
38000.0,0.0
38500.0,0.4
39000.0,0.8
39500.0,0.6
40000.0,0.0
40500.0,1.2
41000.0,0.4
41500.0,0.2
42000.0,0.8
42500.0,0.0
43000.0,0.8
43500.0,0.6
44000.0,0.6
44500.0,1.4000000000000001
45000.0,0.4
45500.0,0.2
46000.0,0.6
46500.0,0.0
47000.0,1.4000000000000001
47500.0,0.0
48000.0,0.0
48500.0,0.2
49000.0,0.4
49500.0,0.0
50000.0,0.6
50500.0,0.4
51000.0,0.2
51500.0,0.4
52000.0,0.6
52500.0,0.0
53000.0,0.2
53500.0,1.2
54000.0,0.8
54500.0,0.8
55000.0,0.4
55500.0,0.6
56000.0,0.0
56500.0,0.2
57000.0,0.6
57500.0,0.6
58000.0,0.2
58500.0,0.4
59000.0,0.2
59500.0,0.2
60000.0,0.2
60500.0,0.4
61000.0,0.2
61500.0,0.2
62000.0,1.4000000000000001
62500.0,0.4
63000.0,0.8
63500.0,0.4
64000.0,0.0
64500.0,0.2
65000.0,0.0
65500.0,0.4
66000.0,1.0
66500.0,1.2
67000.0,1.6
67500.0,0.0
68000.0,0.8
68500.0,0.8
69000.0,0.8
69500.0,0.4
70000.0,0.4
70500.0,0.6
71000.0,0.2
71500.0,0.2
72000.0,0.4
72500.0,0.6
73000.0,0.4
73500.0,0.2
74000.0,0.2
74500.0,0.6
75000.0,0.6
75500.0,0.2
76000.0,0.4
76500.0,0.6
77000.0,0.2
77500.0,0.6
78000.0,0.4
78500.0,0.4
79000.0,0.4
79500.0,0.0
80000.0,1.0
80500.0,0.8
81000.0,0.2
81500.0,0.8
82000.0,0.8
82500.0,0.2
83000.0,1.6
83500.0,0.2
84000.0,0.0
84500.0,0.2
85000.0,0.6
85500.0,0.0
86000.0,0.6
86500.0,0.4
87000.0,1.7999999999999998
87500.0,0.8
88000.0,0.6
88500.0,0.6
89000.0,0.2
89500.0,0.6
90000.0,0.6
90500.0,0.0
91000.0,1.0
91500.0,0.4
92000.0,0.8
92500.0,0.0
93000.0,0.0
93500.0,0.0
94000.0,0.6
94500.0,0.4
95000.0,0.0
95500.0,0.2
96000.0,0.4
96500.0,0.2
97000.0,0.4
97500.0,0.2
98000.0,0.4
98500.0,0.0
99000.0,0.0
99500.0,0.6
100000.0,0.6
100500.0,1.0
101000.0,0.0
101500.0,0.4
102000.0,0.4
102500.0,1.0
103000.0,0.4
103500.0,0.0
104000.0,0.4
104500.0,0.6
105000.0,0.6
105500.0,0.0
106000.0,0.4
106500.0,0.0
107000.0,0.6
107500.0,0.0
108000.0,0.6
108500.0,0.6
109000.0,0.6
109500.0,1.0
110000.0,0.2
110500.0,0.4
111000.0,0.0
111500.0,0.6
112000.0,0.4
112500.0,0.4
113000.0,0.4
113500.0,0.4
114000.0,0.0
114500.0,0.6
115000.0,0.4
115500.0,0.6
116000.0,0.2
116500.0,0.8
117000.0,1.2
117500.0,0.6
118000.0,0.2
118500.0,0.6
119000.0,0.0
119500.0,0.4
120000.0,1.0
120500.0,0.8
121000.0,1.0
121500.0,0.2
122000.0,0.0
122500.0,0.8
123000.0,0.6
123500.0,0.2
124000.0,0.8
124500.0,0.2
125000.0,0.0
125500.0,0.2
126000.0,0.2
126500.0,0.0
127000.0,0.6
127500.0,0.0
128000.0,0.2
128500.0,0.0
129000.0,0.0
129500.0,0.4
130000.0,0.0
130500.0,0.4
131000.0,0.2
131500.0,0.0
132000.0,0.0
132500.0,0.2
133000.0,1.0
133500.0,1.0
134000.0,0.4
134500.0,0.2
135000.0,0.0
135500.0,0.2
136000.0,0.2
136500.0,0.2
137000.0,0.2
137500.0,0.0
138000.0,0.2
138500.0,0.4
139000.0,0.4
139500.0,0.2
140000.0,0.0
140500.0,0.2
141000.0,0.6
141500.0,0.2
142000.0,0.2
142500.0,0.2
143000.0,0.4
143500.0,0.4
144000.0,0.4
144500.0,0.2
145000.0,0.2
145500.0,0.4
146000.0,0.0
146500.0,0.0
147000.0,0.8
147500.0,0.6
148000.0,0.2
148500.0,0.2
149000.0,0.0
149500.0,0.4
150000.0,0.6
150500.0,0.0
151000.0,0.0
151500.0,0.2
152000.0,0.2
152500.0,0.2
153000.0,0.0
153500.0,0.6
154000.0,0.0
154500.0,0.0
155000.0,0.0
155500.0,0.0
156000.0,0.8
156500.0,0.6
157000.0,0.4
157500.0,0.0
158000.0,0.8
158500.0,0.0
159000.0,0.2
159500.0,0.6
160000.0,0.0
160500.0,0.4
161000.0,0.2
161500.0,0.4
162000.0,0.6
162500.0,1.0
163000.0,0.6
163500.0,0.2
164000.0,0.6
164500.0,0.4
165000.0,0.4
165500.0,0.4
166000.0,0.2
166500.0,0.0
167000.0,0.2
167500.0,0.0
168000.0,0.4
168500.0,0.4
169000.0,0.0
169500.0,0.0
170000.0,0.4
170500.0,0.2
171000.0,0.2
171500.0,0.2
172000.0,0.4
172500.0,0.4
173000.0,0.6
173500.0,0.4
174000.0,0.0
174500.0,0.4
175000.0,0.4
175500.0,0.6
176000.0,0.0
176500.0,0.0
177000.0,0.0
177500.0,0.2
178000.0,0.2
178500.0,0.4
179000.0,0.0
179500.0,0.4
180000.0,0.0
180500.0,0.2
181000.0,0.2
181500.0,1.0
182000.0,0.2
182500.0,1.7999999999999998
183000.0,1.0
183500.0,0.0
184000.0,0.0
184500.0,0.6
185000.0,0.0
185500.0,0.6
186000.0,1.6
186500.0,6.800000000000001
187000.0,7.8
187500.0,2.6
188000.0,1.6
188500.0,0.4
189000.0,0.2
189500.0,0.2
190000.0,0.2
190500.0,0.6
191000.0,0.0
191500.0,0.6
192000.0,0.0
192500.0,0.0
193000.0,0.0
193500.0,0.0
194000.0,0.2
194500.0,0.4
195000.0,0.2
195500.0,0.0
196000.0,0.2
196500.0,0.6
197000.0,0.4
197500.0,0.2
198000.0,0.0
198500.0,0.4
199000.0,0.4
199500.0,0.0
200000.0,0.2
200500.0,0.0
201000.0,0.0
201500.0,0.6
202000.0,0.2
202500.0,0.0
203000.0,0.6
203500.0,0.2
204000.0,0.4
204500.0,0.4
205000.0,0.6
205500.0,0.2
