chrom	id	me	nm	featuretype	strand	start	end	abrv	sp	dir	start_rc	end_rc	strand_rc	pm
NC_058133.1	id		TTLL7	unk_exA	+	46706354	46820989	Ga	Agilis	r	46362259	46476894	-	-1
NC_058133.1	id		PRKACB	unk_exA	-	46483304	46512819	Ga	Agilis	r	46670429	46699944	+	1
NC_058133.1	id		SAMD13	unk_exA	-	46362259	46381231	Ga	Agilis	r	46802017	46820989	+	1
1	id		TTLL7	unk_exA	-	83865024	83999150	Hs	Human	f	83865024	83999150	-	-1
1	id		PRKACB	unk_exA	+	84078062	84238498	Hs	Human	f	84078062	84238498	+	1
1	id		SAMD13	unk_exA	+	84298366	84389957	Hs	Human	f	84298366	84389957	+	1
1	id		UOX	unk_exA	-	84363706	84397831	Hs	Human	f	84363706	84397831	-	-1
scaffold_17	id		TTLL7	unk_exA	+	6761990	6856238	La	Elephant	r	6380785	6475033	-	-1
scaffold_17	id		PRKACB	unk_exA	-	6480785	6552590	La	Elephant	r	6684433	6756238	+	1
NC_077228.1	id		TTLL7	unk_exA	+	47030280	47259179	Md	Opossum	r	46753387	46982286	-	-1
NC_077228.1	id		PRKACB	unk_exA	-	46870992	46922453	Md	Opossum	r	47090113	47141574	+	1
NC_077228.1	id		SAMD13	unk_exA	-	46753387	46805723	Md	Opossum	r	47206843	47259179	+	1
2	id		TTLL7	unk_exA	-	478698693	478821950	Me	Tammar	f	478698693	478821950	-	-1
2	id		PRKACB	unk_exA	+	479004054	479056451	Me	Tammar	f	479004054	479056451	+	1
2	id		SAMD13	unk_exA	+	479147701	479186192	Me	Tammar	f	479147701	479186192	+	1
2	id		UOX	unk_exA	-	479239832	479282199	Me	Tammar	f	479239832	479282199	-	-1
3	id		Ttll7	unk_exA	+	146558122	146689764	Mm	Mouse	r	146350950	146482592	-	-1
3	id		Prkacb	unk_exA	-	146435329	146518745	Mm	Mouse	r	146521969	146605385	+	1
3	id		Samd13	unk_exA	-	146350950	146391347	Mm	Mouse	r	146649367	146689764	+	1
3	id		Uox	unk_exA	+	146276181	146338060	Mm	Mouse	r	146702654	146764533	-	-1
NC_041731.1	id		TTLL7	unk_exA	+	104480231	104718778	Oa	Platypus	r	104117714	104356261	-	-1
NC_041731.1	id		PRKACB	unk_exA	-	104203940	104366408	Oa	Platypus	r	104470084	104632552	+	1
NC_041731.1	id		SAMD13	unk_exA	-	104117714	104157641	Oa	Platypus	r	104678851	104718778	+	1
MSTS01000033.1	id		TTLL7	unk_exA	-	11134609	11203380	Pc	Koala	f	11134609	11203380	-	-1
MSTS01000033.1	id		PRKACB	unk_exA	+	11385197	11440365	Pc	Koala	f	11385197	11440365	+	1
MSTS01000033.1	id		SAMD13	unk_exA	+	11517385	11571851	Pc	Koala	f	11517385	11571851	+	1
chr4	id		TTLL7	unk_exA	-	36309973	36500736	Ta	Echidna	f	36309973	36500736	-	-1
chr4	id		PRKACB	unk_exA	+	36642175	36863605	Ta	Echidna	f	36642175	36863605	+	1
NC_050576.1	id		TTLL7	unk_exA	+	46573671	46785962	Tv	Brushtail	r	46255923	46468214	-	-1
NC_050576.1	id		PRKACB	unk_exA	-	46395440	46449269	Tv	Brushtail	r	46592616	46646445	+	1
NC_050576.1	id		SAMD13	unk_exA	-	46255923	46312689	Tv	Brushtail	r	46729196	46785962	+	1
