SW_score	perc_div	perc_del	perc_ins	query_seq	qpos_begin	qpos_end	q(left)	match	matching_repeat	repeat_class	rpos_begin	rpos_end	r(left)	ID	file	spec	reg_st	reg_en	rep_group
244	23.8	0.6	10.2	Me_chr2.fa	11	95	(49906)	+	L2d2	LINE/L2	3343	3464	(0)	1	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
298	25.2	0.1	0.1	Me_chr2.fa	1046	1172	(48829)	C	L1ME4c	LINE/L1	(1934)	5851	5725	2	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
246	12.1	0.0	0.8	Me_chr2.fa	1179	1260	(48741)	+	RLTR20A4	LTR/ERVK	348	499	(86)	3	Tammar_foc.fasta.out	Tammar	478698693	479186192	LTR
720	28.0	7.7	3.0	Me_chr2.fa	1261	1653	(48348)	C	L1ME4c	LINE/L1	(412)	5671	5256	2	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
417	25.7	5.5	3.8	Me_chr2.fa	2223	2635	(47366)	C	L1MEf	LINE/L1	(3638)	2508	2093	4	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
402	28.7	18.9	1.0	Me_chr2.fa	3233	3401	(46600)	C	MIRc	SINE/MIR	(68)	200	2	5	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
270	9.6	0.0	0.0	Me_chr2.fa	3409	3460	(46541)	+	IMPB_01	Satellite	41	92	(2456)	6	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
412	31.7	10.5	0.6	Me_chr2.fa	3750	3911	(46090)	+	MIR3	SINE/MIR	21	198	(10)	7	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
548	32.7	3.5	8.4	Me_chr2.fa	4776	5339	(44662)	C	L1ME4c	LINE/L1	(249)	5834	5291	8	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
457	30.5	11.2	0.5	Me_chr2.fa	5727	5914	(44087)	C	MIRc	SINE/MIR	(39)	229	22	9	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
341	30.5	2.6	3.2	Me_chr2.fa	6392	6547	(43454)	C	CR1-3_Croc	LINE/CR1	(628)	2977	2823	10	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
219	26.8	0.0	0.0	Me_chr2.fa	6548	6588	(43413)	C	L3	LINE/CR1	(261)	3838	3798	11	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
