chrom,id,me,nm,featuretype,strand,start,end
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46395440,46395946
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46395947,46397661
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46397662,46397826
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46397827,46398229
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46398230,46398352
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46398353,46403454
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46403455,46403550
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46403549,46403678
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46403679,46403805
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46403806,46404494
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46404495,46404577
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46404578,46405553
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46405554,46405652
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46405653,46412930
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46412931,46413002
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46413003,46418829
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46418830,46418958
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46418959,46422992
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46422993,46423054
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46423055,46446122
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46446123,46446161
NC_050576.1,id,,MSTRG.8945.1,unk_inA,-,46446162,46449040
NC_050576.1,id,,MSTRG.8945.1,unk_exA,-,46449041,46449269
