xi,yi
0.0,0.4
500.0,0.6
1000.0,0.4
1500.0,0.8
2000.0,1.6
2500.0,0.4
3000.0,1.0
3500.0,0.2
4000.0,0.2
4500.0,0.2
5000.0,0.6
5500.0,0.8
6000.0,0.0
6500.0,0.8
7000.0,1.2
7500.0,1.0
8000.0,0.4
8500.0,1.0
9000.0,0.6
9500.0,0.8
10000.0,0.4
10500.0,0.4
11000.0,0.2
11500.0,0.8
12000.0,0.8
12500.0,1.2
13000.0,0.6
13500.0,0.6
14000.0,0.2
14500.0,0.8
15000.0,0.0
15500.0,0.4
16000.0,0.8
16500.0,0.4
17000.0,0.4
17500.0,0.2
18000.0,0.6
18500.0,0.8
19000.0,0.6
19500.0,0.2
20000.0,0.4
20500.0,1.4000000000000001
21000.0,0.8
21500.0,0.0
22000.0,0.8
22500.0,0.6
23000.0,0.8
23500.0,0.4
24000.0,1.0
24500.0,1.7999999999999998
25000.0,2.1999999999999997
25500.0,2.4
26000.0,1.2
26500.0,1.0
27000.0,0.8
27500.0,1.6
28000.0,1.0
28500.0,0.8
29000.0,0.2
29500.0,1.2
30000.0,1.4000000000000001
30500.0,0.2
31000.0,0.4
31500.0,0.4
32000.0,0.6
32500.0,0.8
33000.0,0.6
33500.0,1.2
34000.0,0.6
34500.0,0.0
35000.0,0.6
35500.0,0.8
36000.0,1.4000000000000001
36500.0,0.6
37000.0,0.2
37500.0,2.0
38000.0,0.0
38500.0,0.6
39000.0,0.2
39500.0,1.0
40000.0,1.0
40500.0,0.6
41000.0,0.8
41500.0,0.4
42000.0,0.6
42500.0,0.4
43000.0,0.6
43500.0,0.4
44000.0,0.2
44500.0,0.0
45000.0,0.4
45500.0,1.7999999999999998
46000.0,0.4
46500.0,0.4
47000.0,0.6
47500.0,0.2
48000.0,0.8
48500.0,1.2
49000.0,0.4
49500.0,0.4
50000.0,0.6
50500.0,0.6
51000.0,0.8
51500.0,2.6
52000.0,1.0
52500.0,0.2
53000.0,1.2
53500.0,0.4
54000.0,0.6
54500.0,0.4
55000.0,0.4
55500.0,0.2
56000.0,0.4
56500.0,0.2
57000.0,0.4
57500.0,2.0
58000.0,1.7999999999999998
58500.0,0.4
59000.0,0.8
59500.0,0.4
60000.0,0.4
60500.0,0.4
61000.0,1.7999999999999998
61500.0,2.8000000000000003
62000.0,1.6
62500.0,1.2
63000.0,1.2
63500.0,1.2
64000.0,1.0
64500.0,1.7999999999999998
65000.0,1.6
65500.0,2.1999999999999997
66000.0,0.6
66500.0,0.2
67000.0,2.0
67500.0,2.4
68000.0,1.2
68500.0,2.4
69000.0,2.0
69500.0,1.6
70000.0,1.0
70500.0,0.8
71000.0,0.8
71500.0,1.0
72000.0,0.4
72500.0,1.0
73000.0,0.8
73500.0,0.6
74000.0,1.7999999999999998
74500.0,0.6
75000.0,0.8
75500.0,0.8
76000.0,0.2
76500.0,1.6
77000.0,0.8
77500.0,0.2
78000.0,0.8
78500.0,1.2
79000.0,1.2
79500.0,1.4000000000000001
80000.0,2.0
80500.0,2.1999999999999997
81000.0,0.8
81500.0,1.4000000000000001
82000.0,1.7999999999999998
82500.0,1.6
83000.0,1.2
83500.0,1.2
84000.0,1.2
84500.0,0.4
85000.0,1.2
85500.0,1.0
86000.0,1.4000000000000001
86500.0,0.8
87000.0,0.8
87500.0,1.2
88000.0,2.0
88500.0,1.7999999999999998
89000.0,0.8
89500.0,0.2
90000.0,1.2
90500.0,0.6
91000.0,1.4000000000000001
91500.0,0.8
92000.0,0.0
92500.0,1.0
93000.0,0.8
93500.0,0.4
94000.0,0.4
94500.0,0.0
95000.0,1.2
95500.0,0.6
96000.0,0.6
96500.0,1.6
97000.0,0.4
97500.0,0.0
98000.0,0.8
98500.0,0.2
99000.0,0.8
99500.0,0.4
100000.0,0.2
100500.0,0.6
101000.0,0.4
101500.0,0.6
102000.0,0.6
102500.0,0.8
103000.0,0.8
103500.0,0.8
104000.0,0.8
104500.0,1.4000000000000001
105000.0,0.6
105500.0,1.0
106000.0,1.4000000000000001
106500.0,0.6
107000.0,0.8
107500.0,0.8
108000.0,1.2
108500.0,0.6
109000.0,1.2
109500.0,1.4000000000000001
110000.0,1.4000000000000001
110500.0,0.8
111000.0,0.4
111500.0,0.4
112000.0,0.8
112500.0,0.6
113000.0,1.4000000000000001
113500.0,0.8
114000.0,1.0
114500.0,0.6
115000.0,0.2
115500.0,0.4
116000.0,0.6
116500.0,0.4
117000.0,0.8
117500.0,1.2
118000.0,0.6
118500.0,1.7999999999999998
119000.0,2.1999999999999997
119500.0,0.2
120000.0,0.6
120500.0,1.4000000000000001
121000.0,0.6
121500.0,0.8
122000.0,0.6
122500.0,0.4
123000.0,0.4
123500.0,0.2
124000.0,0.2
124500.0,0.8
125000.0,0.6
125500.0,1.7999999999999998
126000.0,0.8
126500.0,1.0
127000.0,0.8
127500.0,0.4
128000.0,1.0
128500.0,0.6
129000.0,1.4000000000000001
129500.0,0.6
130000.0,0.6
130500.0,1.0
131000.0,0.2
131500.0,0.4
132000.0,0.0
132500.0,0.0
133000.0,0.8
133500.0,0.4
134000.0,1.7999999999999998
134500.0,1.0
135000.0,0.4
135500.0,0.6
136000.0,0.4
136500.0,1.6
137000.0,0.4
137500.0,1.2
138000.0,1.2
138500.0,0.6
139000.0,0.6
139500.0,0.6
140000.0,0.8
140500.0,1.0
141000.0,0.4
141500.0,1.0
142000.0,0.6
142500.0,0.8
143000.0,0.8
143500.0,1.0
144000.0,0.0
144500.0,1.0
145000.0,0.6
145500.0,0.2
146000.0,0.4
146500.0,0.4
147000.0,0.4
147500.0,0.0
148000.0,0.6
148500.0,0.6
149000.0,0.8
149500.0,0.6
150000.0,0.2
150500.0,0.4
151000.0,0.2
151500.0,0.6
152000.0,1.2
152500.0,0.8
153000.0,0.4
153500.0,0.4
154000.0,1.2
154500.0,0.0
155000.0,0.2
155500.0,0.4
156000.0,0.6
156500.0,0.0
157000.0,0.4
157500.0,0.4
158000.0,0.8
158500.0,0.6
159000.0,0.8
159500.0,0.8
160000.0,0.4
160500.0,0.6
161000.0,0.2
161500.0,0.0
162000.0,0.2
162500.0,1.2
163000.0,0.4
163500.0,0.4
164000.0,0.4
164500.0,1.7999999999999998
165000.0,0.8
165500.0,1.6
166000.0,1.2
166500.0,1.0
167000.0,1.2
167500.0,0.6
168000.0,0.8
168500.0,0.6
169000.0,0.8
169500.0,0.4
170000.0,1.2
170500.0,0.6
171000.0,0.4
171500.0,0.4
172000.0,0.2
172500.0,0.6
173000.0,0.4
173500.0,0.0
174000.0,0.4
174500.0,0.8
175000.0,0.2
175500.0,0.4
176000.0,0.0
176500.0,0.6
177000.0,0.4
177500.0,0.6
178000.0,0.2
178500.0,0.4
179000.0,1.2
179500.0,0.0
180000.0,1.2
180500.0,0.4
181000.0,0.8
181500.0,0.0
182000.0,0.6
182500.0,0.8
183000.0,0.4
183500.0,0.4
184000.0,1.2
184500.0,0.4
185000.0,0.4
185500.0,0.2
186000.0,0.0
186500.0,0.6
187000.0,0.0
187500.0,0.2
188000.0,2.0
188500.0,8.0
189000.0,9.6
189500.0,5.800000000000001
190000.0,1.2
190500.0,0.4
191000.0,0.2
191500.0,0.0
192000.0,0.6
192500.0,1.4000000000000001
193000.0,0.2
193500.0,0.6
194000.0,0.4
194500.0,0.6
195000.0,0.2
195500.0,0.4
196000.0,0.2
196500.0,0.6
197000.0,0.4
197500.0,0.8
198000.0,0.6
198500.0,0.4
199000.0,0.4
199500.0,0.4
200000.0,0.8
200500.0,0.6
201000.0,1.0
201500.0,0.0
202000.0,0.6
202500.0,0.4
203000.0,0.4
203500.0,0.4
204000.0,0.4
204500.0,0.2
205000.0,1.0
205500.0,0.2
206000.0,0.0
206500.0,0.6
207000.0,0.8
207500.0,0.6
208000.0,0.8
208500.0,0.0
209000.0,0.6
209500.0,0.6
210000.0,0.4
210500.0,0.2
211000.0,0.2
211500.0,0.0
212000.0,0.2
212500.0,0.4
213000.0,0.6
213500.0,0.6
214000.0,0.2
214500.0,0.0
215000.0,0.4
215500.0,0.6
216000.0,1.2
216500.0,0.0
217000.0,0.6
217500.0,0.4
218000.0,0.2
218500.0,0.8
219000.0,0.2
219500.0,0.4
220000.0,0.2
220500.0,0.0
221000.0,0.8
221500.0,0.6
222000.0,0.8
222500.0,0.6
223000.0,0.0
223500.0,0.6
224000.0,0.8
224500.0,0.8
225000.0,0.6
225500.0,0.0
226000.0,0.6
226500.0,0.6
227000.0,0.6
227500.0,0.6
228000.0,0.6
228500.0,0.6
229000.0,0.4
