chrom,id,me,nm,featuretype,strand,start,end
scaffold_17,id,,PRKACB,unk_exA,-,6480785,6480907
scaffold_17,id,,PRKACB,unk_exA,-,6487225,6487389
scaffold_17,id,,PRKACB,unk_exA,-,6498690,6498812
scaffold_17,id,,PRKACB,unk_exA,-,6502101,6502196
scaffold_17,id,,PRKACB,unk_exA,-,6503378,6503504
scaffold_17,id,,PRKACB,unk_exA,-,6509597,6509679
scaffold_17,id,,PRKACB,unk_exA,-,6510684,6510782
scaffold_17,id,,PRKACB,unk_exA,-,6515899,6516027
scaffold_17,id,,PRKACB,unk_exA,-,6518064,6518125
scaffold_17,id,,PRKACB,unk_exA,-,6552404,6552590
