chrom,id,me,nm,featuretype,strand,start,end
3,id,,Prkacb-202,unk_exA,-,146518393,146518715
3,id,,Prkacb-202,unk_inA,-,146463524,146518392
3,id,,Prkacb-202,unk_exA,-,146463462,146463523
3,id,,Prkacb-202,unk_inA,-,146461516,146463461
3,id,,Prkacb-202,unk_exA,-,146461387,146461515
3,id,,Prkacb-202,unk_inA,-,146457301,146461386
3,id,,Prkacb-202,unk_exA,-,146457202,146457300
3,id,,Prkacb-202,unk_inA,-,146456321,146457201
3,id,,Prkacb-202,unk_exA,-,146456238,146456320
3,id,,Prkacb-202,unk_inA,-,146453803,146456237
3,id,,Prkacb-202,unk_exA,-,146453676,146453802
3,id,,Prkacb-202,unk_inA,-,146452451,146453675
3,id,,Prkacb-202,unk_exA,-,146452355,146452450
3,id,,Prkacb-202,unk_inA,-,146451138,146452354
3,id,,Prkacb-202,unk_exA,-,146451015,146451137
3,id,,Prkacb-202,unk_inA,-,146443854,146451014
3,id,,Prkacb-202,unk_exA,-,146443689,146443853
3,id,,Prkacb-202,unk_inA,-,146438469,146443688
3,id,,Prkacb-202,unk_exA,-,146435329,146438468
