xi,yi
0.0,0.2
500.0,2.0
1000.0,2.1999999999999997
1500.0,0.4
2000.0,0.8
2500.0,1.2
3000.0,0.0
3500.0,0.0
4000.0,0.2
4500.0,0.0
5000.0,1.0
5500.0,0.4
6000.0,0.4
6500.0,0.2
7000.0,0.0
7500.0,0.2
8000.0,0.6
8500.0,0.4
9000.0,0.8
9500.0,0.4
10000.0,0.2
10500.0,0.2
11000.0,0.2
11500.0,0.0
12000.0,0.2
12500.0,0.2
13000.0,0.0
13500.0,0.0
14000.0,0.6
14500.0,0.4
15000.0,0.0
15500.0,0.0
16000.0,0.0
16500.0,0.4
17000.0,0.0
17500.0,0.0
18000.0,1.4000000000000001
18500.0,1.4000000000000001
19000.0,0.4
19500.0,1.2
20000.0,1.0
20500.0,1.6
21000.0,1.4000000000000001
21500.0,0.6
22000.0,0.6
22500.0,1.2
23000.0,1.0
23500.0,1.0
24000.0,0.6
24500.0,1.0
25000.0,3.0
25500.0,0.4
26000.0,0.6
26500.0,0.4
27000.0,0.4
27500.0,0.6
28000.0,0.2
28500.0,0.0
29000.0,0.0
29500.0,1.2
30000.0,0.8
30500.0,0.8
31000.0,0.2
31500.0,0.0
32000.0,0.2
32500.0,0.0
33000.0,0.2
33500.0,0.0
34000.0,0.0
34500.0,0.2
35000.0,0.6
35500.0,1.4000000000000001
36000.0,1.6
36500.0,1.0
37000.0,0.4
37500.0,0.4
38000.0,0.4
38500.0,1.2
39000.0,0.0
39500.0,0.2
40000.0,0.0
40500.0,0.2
41000.0,0.0
41500.0,0.8
42000.0,1.0
42500.0,1.6
43000.0,3.8
43500.0,2.1999999999999997
44000.0,0.2
44500.0,0.0
45000.0,0.2
45500.0,0.6
46000.0,1.0
46500.0,0.0
47000.0,0.2
47500.0,1.2
48000.0,0.0
48500.0,0.0
49000.0,0.6
49500.0,1.6
50000.0,0.8
50500.0,1.0
51000.0,2.0
51500.0,0.2
52000.0,1.2
52500.0,0.2
53000.0,0.6
53500.0,0.4
54000.0,0.2
54500.0,0.0
55000.0,0.8
55500.0,0.2
56000.0,0.0
56500.0,0.2
57000.0,1.4000000000000001
57500.0,0.2
58000.0,0.0
58500.0,0.4
59000.0,0.0
59500.0,0.2
60000.0,0.0
60500.0,0.4
61000.0,0.4
61500.0,0.6
62000.0,0.2
62500.0,0.4
63000.0,0.0
63500.0,0.0
64000.0,1.0
64500.0,0.6
65000.0,0.6
65500.0,0.2
66000.0,0.6
66500.0,0.6
67000.0,0.8
67500.0,0.6
68000.0,0.2
68500.0,1.7999999999999998
69000.0,1.0
69500.0,0.2
70000.0,0.6
70500.0,0.0
71000.0,0.0
71500.0,0.0
72000.0,0.0
72500.0,1.6
