chrom,id,me,nm,featuretype,strand,start,end
1,id,,PRKACB,unk_exA,+,84078062,84078371
1,id,,PRKACB,unk_inA,+,84078372,84179176
1,id,,PRKACB,unk_exA,+,84179177,84179238
1,id,,PRKACB,unk_inA,+,84179239,84182199
1,id,,PRKACB,unk_exA,+,84182200,84182328
1,id,,PRKACB,unk_inA,+,84182329,84184036
1,id,,PRKACB,unk_exA,+,84184037,84184135
1,id,,PRKACB,unk_inA,+,84184136,84185099
1,id,,PRKACB,unk_exA,+,84185100,84185182
1,id,,PRKACB,unk_inA,+,84185183,84196615
1,id,,PRKACB,unk_exA,+,84196616,84196742
1,id,,PRKACB,unk_inA,+,84196743,84197728
1,id,,PRKACB,unk_exA,+,84197729,84197824
1,id,,PRKACB,unk_inA,+,84197825,84202682
1,id,,PRKACB,unk_exA,+,84202683,84202805
1,id,,PRKACB,unk_inA,+,84202806,84214152
1,id,,PRKACB,unk_exA,+,84214153,84214317
1,id,,PRKACB,unk_inA,+,84214318,84235179
1,id,,PRKACB,unk_exA,+,84235180,84238498
