xi,yi
0.0,0.8
500.0,0.2
1000.0,0.6
1500.0,1.2
2000.0,0.4
2500.0,0.4
3000.0,0.6
3500.0,0.4
4000.0,0.8
4500.0,0.6
5000.0,0.6
5500.0,0.8
6000.0,0.2
6500.0,0.2
7000.0,0.4
7500.0,0.4
8000.0,0.6
8500.0,0.8
9000.0,0.6
9500.0,0.4
10000.0,0.4
10500.0,0.0
11000.0,0.6
11500.0,0.6
12000.0,1.0
12500.0,1.2
13000.0,0.4
13500.0,0.8
14000.0,1.6
14500.0,0.0
15000.0,0.4
15500.0,1.6
16000.0,0.4
16500.0,0.6
17000.0,0.0
17500.0,0.2
18000.0,0.2
18500.0,0.2
19000.0,0.8
19500.0,0.2
20000.0,0.6
20500.0,1.0
21000.0,0.6
21500.0,1.0
22000.0,0.2
22500.0,0.0
23000.0,0.4
23500.0,0.4
24000.0,1.0
24500.0,0.4
25000.0,0.4
25500.0,1.2
26000.0,0.6
26500.0,0.4
27000.0,0.8
27500.0,0.8
28000.0,0.6
28500.0,0.4
29000.0,1.0
29500.0,0.2
30000.0,1.4000000000000001
30500.0,0.8
31000.0,0.6
31500.0,1.0
32000.0,1.0
32500.0,0.6
33000.0,1.0
33500.0,1.2
34000.0,0.8
34500.0,0.0
35000.0,1.6
35500.0,0.8
36000.0,0.2
36500.0,0.6
37000.0,0.0
37500.0,0.8
38000.0,0.4
38500.0,2.4
39000.0,1.7999999999999998
39500.0,0.4
40000.0,0.2
40500.0,0.6
41000.0,0.8
41500.0,0.6
42000.0,1.2
42500.0,0.2
43000.0,0.6
43500.0,0.4
44000.0,1.2
44500.0,0.2
45000.0,1.0
45500.0,0.8
46000.0,0.8
46500.0,0.6
47000.0,0.6
47500.0,0.8
48000.0,1.0
48500.0,0.8
49000.0,0.2
49500.0,0.4
50000.0,1.0
50500.0,0.4
51000.0,0.6
51500.0,1.2
52000.0,0.6
52500.0,0.4
53000.0,0.2
53500.0,0.6
54000.0,0.0
54500.0,0.8
55000.0,1.0
55500.0,1.0
56000.0,0.8
56500.0,0.8
57000.0,0.2
57500.0,0.2
58000.0,1.6
58500.0,1.0
59000.0,0.4
59500.0,0.2
60000.0,1.4000000000000001
60500.0,1.2
61000.0,1.4000000000000001
61500.0,0.8
62000.0,0.8
62500.0,1.2
63000.0,0.8
63500.0,1.0
64000.0,0.8
64500.0,0.4
65000.0,0.8
65500.0,1.4000000000000001
66000.0,1.4000000000000001
66500.0,0.8
67000.0,0.4
67500.0,0.4
68000.0,0.2
68500.0,0.2
69000.0,1.2
69500.0,0.4
70000.0,0.8
70500.0,1.0
71000.0,1.2
71500.0,0.6
72000.0,0.4
72500.0,0.6
73000.0,0.2
73500.0,1.0
