xi,yi
0.0,0.6
500.0,0.0
1000.0,1.0
1500.0,0.6
2000.0,0.4
2500.0,0.4
3000.0,0.2
3500.0,0.6
4000.0,0.6
4500.0,1.0
5000.0,0.6
5500.0,0.0
6000.0,1.0
6500.0,0.8
7000.0,0.4
7500.0,0.4
8000.0,0.2
8500.0,0.8
9000.0,0.4
9500.0,0.2
10000.0,0.2
10500.0,0.6
11000.0,0.4
11500.0,0.0
12000.0,0.4
12500.0,0.2
13000.0,0.8
13500.0,0.2
14000.0,0.4
14500.0,0.6
15000.0,0.2
15500.0,0.6
16000.0,0.4
16500.0,0.0
17000.0,0.2
17500.0,1.4000000000000001
18000.0,1.0
18500.0,0.0
19000.0,0.0
19500.0,0.2
20000.0,1.2
20500.0,0.6
21000.0,0.6
21500.0,0.8
22000.0,0.2
22500.0,0.8
23000.0,0.8
23500.0,0.0
24000.0,0.6
24500.0,0.6
25000.0,1.0
25500.0,0.0
26000.0,1.0
26500.0,0.4
27000.0,1.0
27500.0,0.8
28000.0,0.4
28500.0,0.8
29000.0,0.2
29500.0,0.6
30000.0,0.6
30500.0,0.0
31000.0,0.8
31500.0,0.4
32000.0,0.0
32500.0,1.2
33000.0,0.8
33500.0,0.4
34000.0,1.0
34500.0,0.8
35000.0,0.6
35500.0,1.4000000000000001
36000.0,0.8
36500.0,0.4
37000.0,0.4
37500.0,0.6
38000.0,0.4
38500.0,0.2
39000.0,0.8
39500.0,0.8
40000.0,0.6
40500.0,0.4
41000.0,1.0
41500.0,0.4
42000.0,0.2
42500.0,0.2
43000.0,0.2
43500.0,0.2
44000.0,0.8
44500.0,0.6
45000.0,0.8
45500.0,0.2
46000.0,1.6
46500.0,0.6
47000.0,0.4
47500.0,0.6
48000.0,0.2
48500.0,0.8
49000.0,0.4
49500.0,0.2
50000.0,1.4000000000000001
50500.0,0.2
51000.0,0.4
51500.0,0.2
52000.0,0.0
52500.0,0.6
53000.0,0.0
53500.0,0.2
54000.0,0.4
54500.0,0.8
55000.0,0.8
55500.0,0.6
56000.0,0.8
56500.0,0.6
57000.0,1.0
57500.0,0.8
58000.0,0.4
58500.0,0.4
59000.0,0.4
59500.0,0.4
60000.0,0.6
60500.0,0.4
61000.0,0.4
61500.0,2.6
62000.0,0.8
62500.0,0.6
63000.0,0.8
63500.0,0.8
64000.0,0.4
64500.0,0.6
65000.0,1.2
65500.0,0.6
66000.0,0.4
66500.0,0.8
67000.0,0.0
67500.0,0.6
68000.0,0.4
68500.0,0.6
69000.0,1.0
69500.0,1.2
70000.0,2.0
70500.0,4.3999999999999995
71000.0,1.0
71500.0,0.8
72000.0,0.4
72500.0,0.4
73000.0,0.8
73500.0,0.2
74000.0,0.8
74500.0,0.2
75000.0,0.2
75500.0,1.2
76000.0,0.4
76500.0,0.2
77000.0,0.8
77500.0,0.2
78000.0,0.2
78500.0,0.6
79000.0,0.6
79500.0,0.8
80000.0,0.8
80500.0,0.4
81000.0,1.6
81500.0,0.4
82000.0,0.8
82500.0,0.6
83000.0,0.2
83500.0,0.8
84000.0,0.2
84500.0,0.8
85000.0,0.4
85500.0,1.0
86000.0,0.8
86500.0,0.8
87000.0,0.8
87500.0,0.8
88000.0,0.8
88500.0,1.4000000000000001
89000.0,0.0
89500.0,0.2
90000.0,0.4
90500.0,0.6
91000.0,0.6
91500.0,0.6
92000.0,0.2
92500.0,1.2
93000.0,1.2
93500.0,0.2
94000.0,0.2
94500.0,0.4
95000.0,0.2
95500.0,0.6
96000.0,0.4
96500.0,1.0
97000.0,2.0
97500.0,1.0
98000.0,0.2
98500.0,0.4
99000.0,0.0
99500.0,0.6
100000.0,0.0
100500.0,0.6
101000.0,0.2
101500.0,0.2
102000.0,0.2
102500.0,0.4
103000.0,0.2
103500.0,1.0
104000.0,0.4
104500.0,0.4
105000.0,0.4
105500.0,0.2
106000.0,0.4
106500.0,0.4
107000.0,0.8
107500.0,0.0
108000.0,1.0
108500.0,0.6
109000.0,0.4
109500.0,0.8
110000.0,0.4
110500.0,0.8
111000.0,1.0
111500.0,0.6
112000.0,0.4
112500.0,0.6
113000.0,0.6
113500.0,0.4
114000.0,0.4
114500.0,0.6
115000.0,0.2
115500.0,0.8
116000.0,0.0
116500.0,0.2
117000.0,0.4
117500.0,0.6
118000.0,1.4000000000000001
118500.0,0.6
119000.0,0.4
119500.0,0.2
120000.0,0.8
120500.0,0.6
121000.0,0.6
121500.0,0.4
122000.0,0.4
122500.0,0.4
123000.0,0.8
123500.0,0.6
124000.0,0.4
124500.0,0.4
125000.0,0.2
125500.0,0.8
126000.0,0.6
126500.0,0.6
127000.0,0.2
127500.0,0.6
128000.0,0.8
128500.0,0.6
129000.0,0.6
129500.0,0.4
130000.0,0.0
130500.0,0.8
131000.0,0.4
131500.0,0.0
132000.0,0.8
132500.0,1.2
133000.0,0.0
133500.0,0.2
134000.0,0.2
134500.0,0.2
135000.0,0.4
135500.0,0.6
136000.0,0.6
136500.0,0.2
137000.0,0.2
137500.0,0.4
138000.0,0.6
138500.0,0.6
